"RefDes","Value","Name","Manufacturer","MFG P/N","Quantity"
"C1, C3","10uF","Capacitor 10uF 1206","Taiyo Yuden","GMK316BJ106KL-T","2"
"C2, C7, C8, C9","100nF","Capacitor 100nF 0805","Kemet","C0805C104K5RACAUTO","4"
"C4","150pF","Capacitor 150pF 0805","CCTC","TCC0805X7R151K500BT","1"
"C5","2.2uF","Capacitor 22uF 6.3V 1206","Taiyo Yuden","","1"
"C6","22uF 6.3V","Capacitor 22uF 6.3V 1206","Taiyo Yuden","JMK316BJ226KL-T","1"
"D1, D2","Diode, Schottkey 3A DO-214AC","Diode, Schottkey 3A DO-214AC","(MDD) Jiangsu Yutai Elec","C64982","2"
"J1, J3, J4","","1x19 Female Header 0.1 ","AliExpress","","3"
"J2","Header Male 1x4 0.1 ","644456-4","TE Connectivity","","1"
"J5","Micro SD Socket","Micro SD Socket","Korean Hroparts Elec","TF-01A","1"
"J7","","PJ-007","CUI PJ-007","","1"
"L1","4.7uH","Inductor 4.7uH ±20% 5.5A 33mO","Chilisin Elec","MHCI06024-4R7M-R8A","1"
"MH1, MH2, MH3, MH4","","Mounting_hole_M3.7","","","4"
"OPT1, OPT2, OPT3, OPT4, OPT5","EL817","EL817","Everlight Elec","","5"
"PS1","5V","B0505S-1WR3","MORNSUN","","1"
"R1, R2","100k","RES_0805","","","2"
"R3","40.2k","RES_0805","","","1"
"R4","210k","RES_0805","","","1"
"R5, R10, R11, R12, R13, R14","220","RES_0805","","","6"
"R6, R7, R8, R9, R17, R18, R19, R20","10k","RES_0805","","","8"
"R15, R16","20k","RES_0805","","","2"
"R21","120","RES_0805","","","1"
"TB1","","TB_5mm_2POS","","","1"
"TB2, TB3, TB6, TB7, TB8, TB9, TB10, TB13, TB14, TB15, TB16","","TB_3p5mm_3POS","","","11"
"TB4, TB5, TB11, TB12, TB17","","TB_3p5mm_2POS","","","5"
"U1","MP1584EN","5V Step Down P/S ","Monolithic Power Systems","MP1584EN-LF-Z","1"
"U2","","MAX485CSA","Maxim","","1"
"U3, U4","74ACT245","Transceiver, Tri-State","On Semiconductor","MC74ACT245DWR2G","2"
