"RefDes","Name","Pattern","X (mm)","Y (mm)","Side","Rotate","Value"
"C1","CAP_NP_1206","CAP_1206","81.522","65.491","Top","270.0","10uF"
"C2","CAP_0805","CAP_0805","78.179","67.221","Top","0.0","100nF"
"C3","CAP_NP_1206","CAP_1206","56.046","65.066","Top","90.0","10uF"
"C4","CAP_NP_1206","CAP_0805","70.996","62.599","Top","180.0","150pF"
"C5","CAP_NP_1206","CAP_0805","60.967","86.687","Top","270.0","2.2uF"
"C6","CAP_NP_1206","CAP_1206","80.678","74.21","Top","90.0","22uF 6.3V"
"C7","CAP_0805","CAP_0805","84.941","36.678","Top","180.0","100nF"
"C8","CAP_0805","CAP_0805","40.171","32.553","Top","270.0","100nF"
"C9","CAP_0805","CAP_0805","62.396","33.505","Top","270.0","100nF"
"D1","10BQ100","b340a-13-f","77.559","69.863","Top","0.0","Diode, Schottkey 3A"
"J1","HDR-1x19","HDR-1x19","35.408","71.921","Top","0.0",""
"J2","644456-4","HDR-1x4","71.286","81.287","Top","180.0","Header Male 1x4 0.1 "
"J3","HDR-1x19","HDR-1x19","35.408","69.38","Top","0.0",""
"J4","HDR-1x19","HDR-1x19","35.408","46.521","Top","0.0",""
"J5","TF-01A","TF-01A","24.848","65.417","Top","0.0","Micro SD Socket"
"J7","PJ-007","PJ-102A","95.258","55.108","Top","180.0",""
"L1","IND_1210","Inductor 06030","71.63","67.889","Top","90.0","4.7uH"
"OPT1","EL817","SDIP-4V1","20.426","81.958","Top","270.0","EL817"
"OPT2","EL817","SDIP-4V1","27.426","81.958","Top","270.0","EL817"
"OPT3","EL817","SDIP-4V1","34.426","81.958","Top","270.0","EL817"
"OPT4","EL817","SDIP-4V1","41.608","81.958","Top","270.0","EL817"
"OPT5","EL817","SDIP-4V1","48.426","81.958","Top","270.0","EL817"
"PS1","B0505S-1WR3","B0505S-1WR3","58.426","84.518","Top","90.0","5V"
"R1","RES_0805","RES_0805","81.522","61.237","Top","90.0","100k"
"R2","RES_0805","RES_0805","70.996","60.287","Top","180.0","100k"
"R3","RES_0805","RES_0805","70.915","57.976","Top","0.0","40.2k"
"R4","RES_0805","RES_0805","73.927","58.926","Top","90.0","210k"
"R5","RES_0805","RES_0805","56.375","91.708","Top","0.0","220"
"R6","RES_0805","RES_0805","76.143","33.585","Top","180.0","10k"
"R7","RES_0805","RES_0805","78.59","36.36","Top","180.0","10k"
"R8","RES_0805","RES_0805","76.143","31.681","Top","180.0","10k"
"R9","RES_0805","RES_0805","78.59","28.74","Top","180.0","10k"
"R10","RES_0805","RES_0805","23.696","85.758","Top","270.0","220"
"R11","RES_0805","RES_0805","30.696","85.758","Top","270.0","220"
"R12","RES_0805","RES_0805","37.696","85.758","Top","270.0","220"
"R13","RES_0805","RES_0805","44.878","85.758","Top","270.0","220"
"R14","RES_0805","RES_0805","51.696","85.758","Top","270.0","220"
"R15","RES_0805","RES_0805","90.018","27.791","Top","270.0","20k"
"R16","RES_0805","RES_0805","90.018","35.411","Top","270.0","20k"
"R17","RES_0805","RES_0805","50.648","65.886","Top","90.0","10k"
"R18","RES_0805","RES_0805","48.108","65.886","Top","90.0","10k"
"R19","RES_0805","RES_0805","45.727","65.886","Top","90.0","10k"
"R20","RES_0805","RES_0805","53.188","65.886","Top","90.0","10k"
"R21","RES_0805","RES_0805","90.018","31.6","Top","270.0","120"
"TB1","TB_5mm_2POS","TB_5mm_2POS","99.86","63.983","Top","90.0",""
"TB2","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","21.258","93.008","Top","180.0",""
"TB3","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","31.758","93.008","Top","180.0",""
"TB4","TB_3p5mm_2POS","TBH-1x2/3.5/13x3","38.758","93.008","Top","180.0",""
"TB5","TB_3p5mm_2POS","TBH-1x2/3.5/13x3","45.758","93.008","Top","180.0",""
"TB6","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","99.543","30.158","Top","270.0",""
"TB7","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","41.258","17.008","Top","180.0",""
"TB8","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","51.758","17.008","Top","180.0",""
"TB9","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","20.258","17.008","Top","180.0",""
"TB10","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","30.758","17.008","Top","180.0",""
"TB11","TB_3p5mm_2POS","TBH-1x2/3.5/13x3","17.508","35.758","Top","90.0",""
"TB12","TB_3p5mm_2POS","TBH-1x2/3.5/13x3","17.508","28.758","Top","90.0",""
"TB13","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","62.258","17.008","Top","180.0",""
"TB14","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","72.758","17.008","Top","180.0",""
"TB15","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","83.258","17.008","Top","180.0",""
"TB16","TB_3p5mm_3POS","TBH-1x3/3.5/13x3","93.758","17.008","Top","180.0",""
"TB17","TB_3p5mm_2POS","TBH-1x2/3.5/13x3","17.508","42.758","Top","90.0",""
"U1","MP1584EN","MP1584EN","73.852","65.191","Top","270.0","MP1584EN"
"U2","MAX485CSA","SOIC-8/150mil","83.193","32.551","Top","0.0",""
"U3","SN74ACT245DW","SOIC-20/300mil","32.233","29.755","Top","270.0","74ACT245"
"U4","SN74ACT245DW","SOIC-20/300mil","53.823","29.755","Top","270.0","74ACT245"
"D2","10BQ100","b340a-13-f","12.389","79.953","Top","90.0",""
